title,category,upc,product_type,price_excl,price_incl,tax,no_of_reviews,stock_availability,available_count
A Light in the Attic,Poetry,a897fe39b1053632,Books,51.77,51.77,0.0,0,In stock,22
Tipping the Velvet,Historical Fiction,90fa61229261140a,Books,53.74,53.74,0.0,0,In stock,20
Soumission,Fiction,6957f44c3847a760,Books,50.1,50.1,0.0,0,In stock,20
Sharp Objects,Mystery,e00eb4fd7b871a48,Books,47.82,47.82,0.0,0,In stock,20
Sapiens: A Brief History of Humankind,History,4165285e1663650f,Books,54.23,54.23,0.0,0,In stock,20
The Requiem Red,Young Adult,f77dbf2323deb740,Books,22.65,22.65,0.0,0,In stock,19
The Dirty Little Secrets of Getting Your Dream Job,Business,2597b5a345f45e1b,Books,33.34,33.34,0.0,0,In stock,19
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,e72a5dfc7e9267b2,Books,17.93,17.93,0.0,0,In stock,19
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,e10e1e165dc8be4a,Books,22.6,22.6,0.0,0,In stock,19
The Black Maria,Poetry,1dfe412b8ac00530,Books,52.15,52.15,0.0,0,In stock,19
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,0312262ecafa5a40,Books,13.99,13.99,0.0,0,In stock,19
Shakespeare's Sonnets,Poetry,30a7f60cd76ca58c,Books,20.66,20.66,0.0,0,In stock,19
Set Me Free,Young Adult,ce6396b0f23f6ecc,Books,17.46,17.46,0.0,0,In stock,19
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,3b1c02bac2a429e6,Books,52.29,52.29,0.0,0,In stock,19
Rip it Up and Start Again,Music,a34ba96d4081e6a4,Books,35.02,35.02,0.0,0,In stock,19
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,deda3e61b9514b83,Books,57.25,57.25,0.0,0,In stock,19
Olio,Poetry,feb7cc7701ecf901,Books,23.88,23.88,0.0,0,In stock,19
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,e30f54cea9b38190,Books,37.59,37.59,0.0,0,In stock,19
Libertarianism for Beginners,Politics,a18a4f574854aced,Books,51.33,51.33,0.0,0,In stock,19
It's Only the Himalayas,Travel,a22124811bfa8350,Books,45.17,45.17,0.0,0,In stock,19
In Her Wake,Thriller,23356462d1320d61,Books,12.84,12.84,0.0,0,In stock,19
How Music Works,Music,327f68a59745c102,Books,37.32,37.32,0.0,0,In stock,19
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,5674a18a29a43ced,Books,30.52,30.52,0.0,0,In stock,19
Chase Me (Paris Nights #2),Romance,c2e46a2ee3b4a322,Books,25.27,25.27,0.0,0,In stock,19
Black Dust,Romance,00bfed9e18bb36f3,Books,34.53,34.53,0.0,0,In stock,19
Birdsong: A Story in Pictures,Childrens,9528d0948525bf5f,Books,54.64,54.64,0.0,0,In stock,19
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,c7d160c2c0de586f,Books,22.5,22.5,0.0,0,In stock,19
Aladdin and His Wonderful Lamp,Default,904208d6aa64b655,Books,53.13,53.13,0.0,0,In stock,19
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Nonfiction,4c28def39d850cdf,Books,40.3,40.3,0.0,0,In stock,18
Wall and Piece,Art,ccd9ffa25efabdea,Books,44.18,44.18,0.0,0,In stock,18
The Four Agreements: A Practical Guide to Personal Freedom,Spirituality,6258a1f6a6dcfe50,Books,17.66,17.66,0.0,0,In stock,18
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Nonfiction,3c039985229453bf,Books,31.05,31.05,0.0,0,In stock,18
The Elephant Tree,Thriller,5dada2b7be26bd03,Books,23.82,23.82,0.0,0,In stock,18
The Bear and the Piano,Childrens,9f6568e9c95f60b0,Books,36.89,36.89,0.0,0,In stock,18
Sophie's World,Philosophy,6be3beb0793a53e7,Books,15.94,15.94,0.0,0,In stock,18
Penny Maybe,Default,668fe56b17cfcd4f,Books,33.29,33.29,0.0,0,In stock,18
Maude (1883-1993):She Grew Up with the country,Default,094b269567e1c300,Books,18.02,18.02,0.0,0,In stock,18
"In a Dark, Dark Wood",Mystery,19ed25f4641d5efd,Books,19.63,19.63,0.0,0,In stock,18
Behind Closed Doors,Thriller,be5cc846f45496fb,Books,52.22,52.22,0.0,0,In stock,18
You can't bury them all: Poems,Poetry,55f9da0c5eea2e10,Books,33.63,33.63,0.0,0,In stock,17
Slow States of Collapse: Poems,Poetry,b4fd5943413e089a,Books,57.31,57.31,0.0,0,In stock,17
Reasons to Stay Alive,Nonfiction,c8f7f0cb1abb9cac,Books,26.41,26.41,0.0,0,In stock,17
Private Paris (Private #10),Fiction,b12b89017878a60d,Books,47.61,47.61,0.0,0,In stock,17
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Nonfiction,c27f6e1f185b0383,Books,23.11,23.11,0.0,0,In stock,17
Without Borders (Wanderlove #1),New Adult,acddfeab2a407640,Books,45.07,45.07,0.0,0,In stock,16
When We Collided,Contemporary,3ecb690d1542c568,Books,31.77,31.77,0.0,0,In stock,16
